Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
Libocedrus bidwillii,Cupressaceae,Libocedrus,Indigenous Endemic,Vascular,Unclassified,Tree,Cedar (NZ); kaikawaka; New Zealand cedar; Pahau kokako; Pahautea;,Not Threatened,250,451,0.0011,0.0008
Libocedrus plumosa,Cupressaceae,Libocedrus,Indigenous Endemic,Vascular,Unclassified,Tree,Cedar (NZ); Kahikawaka; kaikawaka; Kawaka; Mokopiko; New Zealand cedar; T?tara kiri k?tukutuku;,Not Threatened,19,20,0.0000,0.0000
Lignocarpa carnosula,Umbelliferae,Lignocarpa,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,8,10,0.0000,0.0000
Lignocarpa diversifolia,Umbelliferae,Anisotome,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,3,3,0.0000,0.0000
Ligustrum lucidum,Oleaceae,Ligustrum,Exotic,Vascular,Unclassified,Tree,broadleaf privet; Tree privet;,Not threatened (assumed),10,11,0.0000,0.0000
Ligustrum ovalifolium,Oleaceae,Ligustrum,Exotic,Vascular,Unclassified,Shrub,Californian privet; Golden privet;,Not threatened (assumed),1,1,0.0000,0.0000
Ligustrum sinense,Oleaceae,Ligustrum,Exotic,Vascular,Unclassified,Tree,Chinese privet; Small-leaf privet;,Not threatened (assumed),19,21,0.0000,0.0000
Ligustrum vulgare,Oleaceae,Ligustrum,Exotic,Vascular,Unclassified,Shrub,common privet;,Not threatened (assumed),3,3,0.0000,0.0000
Lilaeopsis novae-zelandiae,Umbelliferae,Lilaeopsis,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not Threatened,12,12,0.0000,0.0000
Lilaeopsis ruthiana,Umbelliferae,Lilaeopsis,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Lilium formosanum,Liliaceae,Lilium,Exotic,Vascular,Unclassified,Graminoid,formosan lily;,Not threatened (assumed),0,0,0.0000,0.0000
Limosella lineata,Scrophulariaceae,Limosella,Indigenous Non-Endemic,Vascular,Unclassified,Forb,Mudwort;,Not Threatened,13,14,0.0000,0.0000
Linaria arvensis,Plantaginaceae,Linaria,Exotic,Vascular,Unclassified,Forb,Field linaria;,Not threatened (assumed),32,37,0.0000,0.0000
Linaria maroccana,Plantaginaceae,Linaria,Exotic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Linaria purpurea,Plantaginaceae,Linaria,Exotic,Vascular,Unclassified,Forb,Purple linaria;,Not threatened (assumed),3,3,0.0000,0.0000
Lindsaea linearis,Lindsaeaceae,Lindsaea,Indigenous Non-Endemic,Vascular,Unclassified,Fern,,Not Threatened,18,24,0.0000,0.0000
Lindsaea trichomanoides,Lindsaeaceae,Lindsaea,Indigenous Non-Endemic,Vascular,Unclassified,Fern,,Not Threatened,457,707,0.0000,0.0001
Lindsaea viridis,Lindsaeaceae,Lindsaea,Indigenous Endemic,Vascular,Unclassified,Fern,,Naturally Uncommon,12,12,0.0000,0.0000
Linum bienne,Linaceae,Linum,Exotic,Vascular,Unclassified,Forb,Australian flax; Pale flax;,Not threatened (assumed),32,34,0.0000,0.0000
Linum catharticum,Linaceae,Linum,Exotic,Vascular,Unclassified,Forb,Fairy flax; Purging flax;,Not threatened (assumed),460,539,0.0000,0.0002
Linum monogynum,Linaceae,Linum,Indigenous Endemic,Vascular,Unclassified,Forb,Kaho; Linen flax (NZ); Matamatahuia; New Zealand true flax; Rauhuia;,Not threatened (assumed),25,25,0.0000,0.0000
Linum trigynum,Linaceae,Linum,Exotic,Vascular,Unclassified,Forb,Yellow flax;,Not threatened (assumed),3,4,0.0000,0.0000
Linum usitatissimum,Linaceae,Linum,Exotic,Vascular,Unclassified,Forb,Common flax; Linen flax; Linseed;,Not threatened (assumed),0,0,0.0000,0.0000
Liparophyllum gunnii,Menyanthaceae,Liparophyllum,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not Threatened,19,20,0.0000,0.0000
Liquidambar styraciflua,Hamamelidaceae,Liquidambar,Exotic,Vascular,Unclassified,Tree,Bilsted; Red gum; Sweet gum;,Not threatened (assumed),0,0,0.0000,0.0000
Liriodendron tulipifera,Magnoliaceae,Liriodendron,Exotic,Vascular,Unclassified,Tree,Tulip poplar; Tulip tree; Whitewood; Yellow poplar;,Not threatened (assumed),0,0,0.0000,0.0000
Liriope muscari,Asparagaceae,Liriope,Exotic,Vascular,Unclassified,Graminoid,Big blue turf lily;,Not threatened (assumed),0,0,0.0000,0.0000
Lithothelium australe,Pyrenulaceae,Lithothelium,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Litsea calicaris,Lauraceae,Litsea,Indigenous Endemic,Vascular,Unclassified,Tree,Mangeao; Mangeo; Tangeao; Tangeo;,Not Threatened,225,437,0.0010,0.0007
